Feature,Flight,Image,PassFail,X,Y
CurvedArrow,MASB737,000192.png,0,,
CurvedArrow,MASB737,000193.png,0,,
CurvedArrow,MASB737,000194.png,0,,
CurvedArrow,MASB737,000195.png,0,,
CurvedArrow,MASB737,000196.png,0,,
CurvedArrow,MASB737,000197.png,0,,
CurvedArrow,MASB737,000198.png,0,,
CurvedArrow,MASB737,000199.png,0,,
CurvedArrow,MASB737,000200.png,1,1073, 263
CurvedArrow,MASB737,000201.png,1,1091, 295
CurvedArrow,MASB737,000202.png,1,1561, 380
CurvedArrow,MASB737,000203.png,1,1559, 398
CurvedArrow,MASB737,000204.png,1,1576, 415
CurvedArrow,MASB737,000205.png,1,1576, 414
CurvedArrow,MASB737,000206.png,1,1574, 415
CurvedArrow,MASB737,000207.png,1,1055, 356
CurvedArrow,MASB737,000208.png,1,1573, 412
CurvedArrow,MASB737,000209.png,1,1572, 419
CurvedArrow,MASB737,000210.png,1,1557, 445
CurvedArrow,MASB737,000211.png,1,1526, 435
CurvedArrow,MASB737,000212.png,1,1529, 434
CurvedArrow,MASB737,000213.png,1,991, 385
CurvedArrow,MASB737,000214.png,1,1534, 440
CurvedArrow,MASB737,000215.png,1,1565, 468
CurvedArrow,MASB737,000216.png,1,1553, 483
CurvedArrow,MASB737,000217.png,1,1571, 492
CurvedArrow,MASB737,000218.png,1,1571, 491
CurvedArrow,MASB737,000219.png,1,1581, 505
CurvedArrow,MASB737,000220.png,1,1588, 527
CurvedArrow,MASB737,000221.png,1,1590, 526
CurvedArrow,MASB737,000222.png,1,1589, 526
CurvedArrow,MASB737,000223.png,1,1590, 525
CurvedArrow,MASB737,000224.png,1,1590, 526
CurvedArrow,MASB737,000225.png,1,1593, 519
CurvedArrow,MASB737,000226.png,1,1593, 517
CurvedArrow,MASB737,000227.png,1,1587, 521
CurvedArrow,MASB737,000228.png,1,1600, 527
CurvedArrow,MASB737,000229.png,1,1594, 531
CurvedArrow,MASB737,000230.png,1,1601, 525
CurvedArrow,MASB737,000231.png,0,,
CurvedArrow,MASB737,000232.png,0,,
CurvedArrow,MASB737,000233.png,1,1628, 850
CurvedArrow,MASB737,000234.png,1,1592, 530
CurvedArrow,MASB737,000235.png,1,1599, 526
CurvedArrow,MASB737,000236.png,1,1467, 890
CurvedArrow,MASB737,000237.png,1,1606, 860
CurvedArrow,MASB737,000238.png,1,1599, 526
CurvedArrow,MASB737,000239.png,1,1599, 526
CurvedArrow,MASB737,000240.png,1,1472, 889
CurvedArrow,MASB737,000241.png,1,1599, 526
CurvedArrow,MASB737,000242.png,1,1599, 526
CurvedArrow,ScootB787,000165.png,1,1790, 110
CurvedArrow,ScootB787,000166.png,1,1411, 754
CurvedArrow,ScootB787,000167.png,1,1680, 120
CurvedArrow,ScootB787,000168.png,1,1639, 132
CurvedArrow,ScootB787,000169.png,1,1571, 144
CurvedArrow,ScootB787,000170.png,1,1509, 136
CurvedArrow,ScootB787,000171.png,1,1439, 146
CurvedArrow,ScootB787,000172.png,1,1375, 151
CurvedArrow,ScootB787,000173.png,1,1390, 151
CurvedArrow,ScootB787,000174.png,1,1391, 150
CurvedArrow,ScootB787,000175.png,1,1364, 155
CurvedArrow,ScootB787,000176.png,1,1331, 166
CurvedArrow,ScootB787,000177.png,1,1351, 187
CurvedArrow,ScootB787,000178.png,1,1295, 228
CurvedArrow,ScootB787,000179.png,1,1303, 218
CurvedArrow,ScootB787,000180.png,1,1294, 238
CurvedArrow,ScootB787,000181.png,1,1305, 275
CurvedArrow,ScootB787,000182.png,1,1316, 245
CurvedArrow,ScootB787,000183.png,1,1298, 275
CurvedArrow,ScootB787,000184.png,1,1320, 244
CurvedArrow,ScootB787,000185.png,1,1302, 262
CurvedArrow,ScootB787,000186.png,1,1265, 303
CurvedArrow,ScootB787,000187.png,1,1245, 297
CurvedArrow,ScootB787,000188.png,1,1284, 242
CurvedArrow,ScootB787,000189.png,1,1295, 237
CurvedArrow,ScootB787,000190.png,1,1291, 239
CurvedArrow,ScootB787,000191.png,1,1281, 264
CurvedArrow,ScootB787,000192.png,1,1609, 865
CurvedArrow,ScootB787,000193.png,1,1273, 284
CurvedArrow,ScootB787,000194.png,1,1272, 300
CurvedArrow,ScootB787,000195.png,1,1271, 299
CurvedArrow,ScootB787,000196.png,1,1271, 300
CurvedArrow,ScootB787,000197.png,1,1248, 334
CurvedArrow,ScootB787,000198.png,1,1271, 294
CurvedArrow,ScootB787,000199.png,1,1274, 293
CurvedArrow,ScootB787,000200.png,1,1267, 299
CurvedArrow,ScootB787,000201.png,1,1268, 298
CurvedArrow,ScootB787,000202.png,1,1269, 299
CurvedArrow,ScootB787,000203.png,1,1258, 297
CurvedArrow,ScootB787,000204.png,1,1269, 299
CurvedArrow,ScootB787,000205.png,1,1259, 296
CurvedArrow,ScootB787,000206.png,1,1260, 297
CurvedArrow,ScootB787,000207.png,1,1261, 297
CurvedArrow,ScootB787,000208.png,1,1261, 297
CurvedArrow,ScootB787,000209.png,1,1261, 297
CurvedArrow,ScootB787,000210.png,1,1261, 297
CurvedArrow,ScootB787,000211.png,1,1260, 297
CurvedArrow,ScootB787PBB,000164-2.png,0,,
CurvedArrow,ScootB787PBB,000165.png,0,,
CurvedArrow,ScootB787PBB,000166.png,0,,
CurvedArrow,ScootB787PBB,000167.png,0,,
CurvedArrow,ScootB787PBB,000168-2.png,0,,
CurvedArrow,ScootB787PBB,000169.png,0,,
CurvedArrow,ScootB787PBB,000170.png,0,,
CurvedArrow,ScootB787PBB,000171.png,0,,
CurvedArrow,ScootB787PBB,000172-2.png,0,,
CurvedArrow,ScootB787PBB,000173.png,0,,
CurvedArrow,ScootB787PBB,000174.png,0,,
CurvedArrow,ScootB787PBB,000175.png,0,,
CurvedArrow,ScootB787PBB,000176-2.png,0,,
CurvedArrow,ScootB787PBB,000177.png,0,,
CurvedArrow,ScootB787PBB,000178.png,0,,
CurvedArrow,ScootB787PBB,000179.png,0,,
CurvedArrow,ScootB787PBB,000180-2.png,0,,
CurvedArrow,ScootB787PBB,000181.png,0,,
CurvedArrow,ScootB787PBB,000182.png,0,,
CurvedArrow,ScootB787PBB,000183-2.png,0,,
CurvedArrow,ScootB787PBB,000184.png,1,1453, 23
CurvedArrow,ScootB787PBB,000185.png,1,1436, 65
CurvedArrow,ScootB787PBB,000186-2.png,1,1439, 81
CurvedArrow,ScootB787PBB,000187.png,1,1450, 69
CurvedArrow,ScootB787PBB,000188.png,1,1450, 84
CurvedArrow,ScootB787PBB,000189-2.png,1,1451, 100
CurvedArrow,ScootB787PBB,000190.png,1,1451, 115
CurvedArrow,ScootB787PBB,000191.png,1,1436, 157
CurvedArrow,ScootB787PBB,000192.png,1,1451, 145
CurvedArrow,ScootB787PBB,000193.png,1,1451, 160
CurvedArrow,ScootB787PBB,000194.png,1,1451, 175
CurvedArrow,ScootB787PBB,000195.png,1,1433, 179
CurvedArrow,ScootB787PBB,000196.png,1,1395, 186
CurvedArrow,ScootB787PBB,000197.png,1,1348, 196
CurvedArrow,ScootB787PBB,000198.png,1,1292, 233
CurvedArrow,ScootB787PBB,000199.png,1,1260, 216
CurvedArrow,ScootB787PBB,000200.png,1,1202, 257
CurvedArrow,ScootB787PBB,000201.png,1,1230, 223
CurvedArrow,ScootB787PBB,000202.png,1,1209, 254
CurvedArrow,ScootB787PBB,000203.png,1,1202, 255
CurvedArrow,ScootB787PBB,000204.png,1,1183, 260
CurvedArrow,ScootB787PBB,000205.png,1,1178, 260
CurvedArrow,ScootB787PBB,000206.png,1,1201, 228
CurvedArrow,ScootB787PBB,000207.png,1,1153, 276
CurvedArrow,ScootB787PBB,000208.png,1,1131, 287
CurvedArrow,ScootB787PBB,000209.png,1,1126, 297
CurvedArrow,ScootB787PBB,000210.png,1,1133, 313
CurvedArrow,ScootB787PBB,000211.png,1,1154, 297
CurvedArrow,ScootB787PBB,000212.png,1,1202, 302
CurvedArrow,ScootB787PBB,000213.png,1,1177, 332
CurvedArrow,ScootB787PBB,000214.png,1,1197, 301
CurvedArrow,ScootB787PBB,000215.png,1,1198, 301
CurvedArrow,ScootB787PBB,000216.png,1,1227, 305
CurvedArrow,ScootB787PBB,000217.png,1,1217, 308
CurvedArrow,ScootB787PBB,000218.png,1,1205, 313
CurvedArrow,ScootB787PBB,000219.png,1,1203, 331
CurvedArrow,ScootB787PBB,000220.png,1,1205, 334
CurvedArrow,ScootB787PBB,000221.png,1,1199, 340
CurvedArrow,ScootB787PBB,000222.png,1,1199, 341
CurvedArrow,ScootB787PBB,000223.png,1,1199, 341
CurvedArrow,ScootB787PBB,000224.png,1,1199, 341
CurvedArrow,ScootB787PBB,000225.png,1,1198, 340
CurvedArrow,ScootB787PBB,000226.png,1,1183, 372
CurvedArrow,ScootB787PBB,000227-2.png,1,1183, 372
CurvedArrow,ScootB787PBB,000228.png,1,1178, 371
CurvedArrow,SilkAirB737,000104.png,0,,
CurvedArrow,SilkAirB737,000105.png,0,,
CurvedArrow,SilkAirB737,000106.png,1,1347, 277
CurvedArrow,SilkAirB737,000107.png,1,1351, 278
CurvedArrow,SilkAirB737,000108.png,0,,
CurvedArrow,SilkAirB737,000109.png,1,1347, 252
CurvedArrow,SilkAirB737,000110.png,1,1344, 242
CurvedArrow,SilkAirB737,000111.png,1,1346, 262
CurvedArrow,SilkAirB737,000112.png,0,,
CurvedArrow,SilkAirB737,000113.png,1,1332, 352
CurvedArrow,SilkAirB737,000114.png,0,,
CurvedArrow,SilkAirB737,000115.png,0,,
CurvedArrow,SilkAirB737,000116.png,0,,
CurvedArrow,SilkAirB737,000117.png,0,,
CurvedArrow,SilkAirB737,000118.png,0,,
CurvedArrow,SilkAirB737,000119.png,0,,
CurvedArrow,SilkAirB737,000120.png,0,,
CurvedArrow,SilkAirB737,000121.png,0,,
CurvedArrow,SilkAirB737,000122.png,0,,
CurvedArrow,SilkAirB737,000123.png,0,,
CurvedArrow,SilkAirB737,000124.png,1,1307, 527
CurvedArrow,SilkAirB737,000125.png,1,1310, 526
CurvedArrow,SilkAirB737,000126.png,1,1314, 531
CurvedArrow,SilkAirB737,000127.png,1,1314, 530
CurvedArrow,SilkAirB737,000128.png,0,,
CurvedArrow,SilkAirB737,000129.png,1,1314, 530
CurvedArrow,SilkAirB737,000130.png,0,,
CurvedArrow,SilkAirB737,000131.png,1,886, 443
CurvedArrow,SilkAirB737,000132.png,0,,
CurvedArrow,SilkAirB737,000133.png,1,796, 447
CurvedArrow,SilkAirB737,000134.png,1,797, 447
CurvedArrow,SilkAirB737,000135.png,1,887, 443
CurvedArrow,SilkAirB737,000136.png,1,792, 445
CurvedArrow,SilkAirB737,000137.png,0,,
CurvedArrow,SilkAirB737,000138.png,0,,
CurvedArrow,SilkAirB737,000139.png,0,,
CurvedArrow,SQB772,000125-1.png,1,1717, 135
CurvedArrow,SQB772,000126-1.png,1,1679, 134
CurvedArrow,SQB772,000127.png,1,1631, 135
CurvedArrow,SQB772,000128.png,1,1569, 135
CurvedArrow,SQB772,000129-1.png,1,1503, 137
CurvedArrow,SQB772,000130.png,1,1437, 152
CurvedArrow,SQB772,000131.png,1,1358, 164
CurvedArrow,SQB772,000132-1.png,1,1303, 147
CurvedArrow,SQB772,000133.png,1,1254, 153
CurvedArrow,SQB772,000134-1.png,1,1206, 159
CurvedArrow,SQB772,000135.png,1,1145, 167
CurvedArrow,SQB772,000136-1.png,1,1087, 174
CurvedArrow,SQB772,000137.png,1,1109, 172
CurvedArrow,SQB772,000138-1.png,1,1082, 199
CurvedArrow,SQB772,000139.png,1,1094, 173
CurvedArrow,SQB772,000140.png,1,1098, 174
CurvedArrow,SQB772,000141.png,1,1096, 173
CurvedArrow,SQB772,000142.png,1,1053, 293
CurvedArrow,SQB772,000143.png,1,1094, 173
CurvedArrow,SQB772,000144.png,1,1094, 172
CurvedArrow,SQB772,000145.png,1,1096, 172
CurvedArrow,SQB772,000146.png,1,1084, 202
CurvedArrow,SQB772,000147.png,1,1085, 220
CurvedArrow,SQB772,000148-1.png,1,1041, 317
CurvedArrow,SQB772,000149.png,1,1048, 320
CurvedArrow,SQB772,000150.png,1,1048, 320
CurvedArrow,SQB772,000151.png,1,1046, 322
CurvedArrow,SQB772,000152.png,1,1029, 347
CurvedArrow,SQB772,000153.png,1,1126, 294
CurvedArrow,SQB772,000154.png,1,1142, 316
CurvedArrow,SQB772,000155.png,1,1228, 327
CurvedArrow,SQB772,000156.png,1,1265, 359
CurvedArrow,SQB772,000157.png,1,1260, 359
CurvedArrow,SQB772,000158-1.png,1,1283, 367
CurvedArrow,SQB772,000159.png,1,1263, 359
CurvedArrow,SQB772,000160.png,1,1266, 360
CurvedArrow,SQB772,000161.png,1,1260, 344
CurvedArrow,SQB772,000162.png,1,1246, 334
CurvedArrow,SQB772,000163.png,1,1244, 332
CurvedArrow,SQB772,000164.png,1,1269, 358
CurvedArrow,SQB772,000165.png,1,1249, 351
CurvedArrow,SQB772,000166.png,1,1271, 374
CurvedArrow,SQB772,000167.png,1,1265, 372
CurvedArrow,SQB772,000168-1.png,1,1265, 371
CurvedArrow,SQB772,000169.png,1,1253, 335
CurvedArrow,SQB772,000170.png,1,1223, 296
CurvedArrow,SQB772,000171.png,1,1220, 324
CurvedArrow,SQB772,000172.png,1,1241, 292
CurvedArrow,SQB772,000173.png,1,1175, 435
CurvedArrow,SQB772,000174.png,1,1223, 327
CurvedArrow,SQB772,000175.png,1,1210, 368
CurvedArrow,SQB772,000176.png,1,1240, 337
CurvedArrow,SQB772,000177.png,1,1235, 337
CurvedArrow,SQB772,000178-1.png,1,1252, 368
CurvedArrow,SQB772,000179.png,1,1230, 364
CurvedArrow,SQB772,000180.png,1,1254, 370
CurvedArrow,SQB772,000181.png,1,1253, 370
CurvedArrow,SQB772,000182.png,1,1248, 368
CurvedArrow,SQB772,000183.png,1,1248, 368
CurvedArrow,SQB772,000184.png,1,1251, 369
CurvedArrow,SQB772,000185.png,1,1251, 369
CurvedArrow,SQB772,000186.png,1,1249, 369
CurvedArrow,SQB772,000187.png,1,1248, 368
CurvedArrow,SQB772,000188.png,1,1249, 368
CurvedArrow,SQB772Rain,000141.png,0,,
CurvedArrow,SQB772Rain,000142.png,1,1662, 201
CurvedArrow,SQB772Rain,000143.png,1,1591, 237
CurvedArrow,SQB772Rain,000144.png,0,,
CurvedArrow,SQB772Rain,000145.png,1,1525, 208
CurvedArrow,SQB772Rain,000146.png,0,,
CurvedArrow,SQB772Rain,000147.png,0,,
CurvedArrow,SQB772Rain,000148.png,1,1346, 129
CurvedArrow,SQB772Rain,000149.png,1,1263, 138
CurvedArrow,SQB772Rain,000150.png,1,1271, 138
CurvedArrow,SQB772Rain,000151.png,1,1278, 141
CurvedArrow,SQB772Rain,000152.png,1,1265, 139
CurvedArrow,SQB772Rain,000153.png,1,1254, 137
CurvedArrow,SQB772Rain,000154.png,1,1250, 137
CurvedArrow,SQB772Rain,000155.png,1,1247, 136
CurvedArrow,SQB772Rain,000156.png,1,1246, 137
CurvedArrow,SQB772Rain,000157.png,1,1246, 141
CurvedArrow,SQB772Rain,000158.png,1,1241, 163
CurvedArrow,SQB772Rain,000159.png,1,1237, 167
CurvedArrow,SQB772Rain,000160.png,1,1244, 170
CurvedArrow,SQB772Rain,000161.png,1,1239, 172
CurvedArrow,SQB772Rain,000162.png,1,1243, 195
CurvedArrow,SQB772Rain,000163.png,1,1235, 275
CurvedArrow,SQB772Rain,000164.png,1,1216, 429
CurvedArrow,SQB772Rain,000165.png,1,1260, 304
CurvedArrow,SQB772Rain,000166.png,1,1250, 370
CurvedArrow,SQB772Rain,000167.png,1,1248, 338
CurvedArrow,SQB772Rain,000168.png,1,1262, 343
CurvedArrow,SQB772Rain,000169.png,1,1257, 356
CurvedArrow,SQB772Rain,000170.png,1,1254, 363
CurvedArrow,SQB772Rain,000171.png,1,1269, 368
CurvedArrow,SQB772Rain,000172.png,1,1260, 366
CurvedArrow,SQB772Rain,000173.png,1,1258, 371
CurvedArrow,SQB772Rain,000174.png,1,1257, 374
CurvedArrow,SQB772Rain,000175.png,1,1258, 379
CurvedArrow,SQB772Rain,000176.png,1,1258, 379
CurvedArrow,SQB772Rain,000177.png,1,1259, 379
CurvedArrow,SQB772Rain,000178.png,1,1259, 379
CurvedArrow,SQB772Rain,000179.png,1,1260, 379
CurvedArrow,SQB772Rain,000180.png,1,1259, 379
CurvedArrow,SQB772Rain,000181.png,1,1259, 379
CurvedArrow,SQB772Rain,000182.png,1,1259, 379
CurvedArrow,TigerAirA320,000140.png,1,1283, 727
CurvedArrow,TigerAirA320,000141.png,1,1285, 727
CurvedArrow,TigerAirA320,000142.png,1,1290, 726
CurvedArrow,TigerAirA320,000143.png,1,715, 765
CurvedArrow,TigerAirA320,000144.png,1,948, 764
CurvedArrow,TigerAirA320,000145.png,1,1268, 759
CurvedArrow,TigerAirA320,000146.png,0,,
CurvedArrow,TigerAirA320,000147.png,0,,
CurvedArrow,TigerAirA320,000148.png,1,429, 864
CurvedArrow,TigerAirA320,000149.png,1,430, 864
CurvedArrow,TigerAirA320,000150.png,1,439, 860
CurvedArrow,TigerAirA320,000151.png,1,440, 862
CurvedArrow,TigerAirA320,000152.png,1,467, 831
CurvedArrow,TigerAirA320,000153.png,1,404, 843
CurvedArrow,TigerAirA320,000154.png,1,402, 850
CurvedArrow,TigerAirA320,000155.png,1,402, 853
CurvedArrow,TigerAirA320,000156.png,0,,
CurvedArrow,TigerAirA320,000157.png,1,383, 860
CurvedArrow,TigerAirA320,000158.png,1,380, 869
CurvedArrow,TigerAirA320,000159.png,1,380, 867
CurvedArrow,TigerAirA320,000160.png,1,388, 864
CurvedArrow,TigerAirA320,000161.png,1,389, 863
CurvedArrow,TigerAirA320,000162.png,1,631, 897
CurvedArrow,TigerAirA320,000163.png,1,386, 881
CurvedArrow,TigerAirA320,000164.png,0,,
CurvedArrow,TigerAirA320,000165.png,1,386, 878
CurvedArrow,TigerAirA320,000166.png,1,386, 878
CurvedArrow,TigerAirA320,000167.png,1,386, 878
CurvedArrow,TigerAirA320,000168.png,0,,
CurvedArrow,TigerAirA320,000169.png,0,,
CurvedArrow,TigerAirA320,000170.png,0,,
CurvedArrow,TigerAirA320,000171.png,0,,
CurvedArrow,TigerAirA320,000172.png,0,,
CurvedArrow,TigerAirA320,000173.png,0,,
CurvedArrow,TigerAirA320,000174.png,0,,
CurvedArrow,TigerAirA320,000175.png,0,,
CurvedArrow,TigerAirA320,000176.png,0,,
CurvedArrow,TigerAirA320,000177.png,0,,
CurvedArrow,TigerAirA320,000178.png,0,,
CurvedArrow,TigerAirA320,000179.png,0,,
CurvedArrow,TigerAirA320,000180.png,0,,
CurvedArrow,TigerAirA320,000181.png,0,,
CurvedArrow,TigerAirA320,000182.png,0,,
CurvedArrow,TigerAirA320,000183.png,0,,
CurvedArrow,TigerAirA320,000184.png,0,,
CurvedArrow,TigerAirA320,000185.png,0,,
CurvedArrow,TigerAirA320,000186.png,0,,
CurvedArrow,TigerAirA320,000187.png,0,,
CurvedArrow,TigerAirA320,000188.png,0,,
CurvedArrow,TigerAirA320,000189.png,0,,
CurvedArrow,TigerAirA320,000190.png,0,,
CurvedArrow,TigerAirA320,000191.png,0,,
CurvedArrow,TigerAirA320,000192.png,0,,
CurvedArrow,TigerAirA320,000193.png,0,,
CurvedArrow,TigerAirA320,000194.png,0,,
CurvedArrow,TigerAirA320,000195.png,0,,
CurvedArrow,TigerAirA320,000196.png,0,,
CurvedArrow,TigerAirA320,000197.png,0,,
CurvedArrow,TigerAirA320,000198.png,0,,
CurvedArrow,TigerAirA320,000199.png,0,,
CurvedArrow,TigerAirA320,000200.png,0,,
CurvedArrow,TigerAirA320,000201.png,0,,
CurvedArrow,TigerAirA320,000202.png,0,,
CurvedArrow,TigerAirA320,000203.png,0,,
CurvedArrow,TigerAirA320,000204.png,0,,
CurvedArrow,TigerAirA320,000205.png,0,,
CurvedArrow,TigerAirA320,000206.png,0,,
CurvedArrow,TigerAirA320,000207.png,0,,
CurvedArrow,TigerAirA320,000208.png,0,,
CurvedArrow,TigerAirA320,000209.png,0,,
CurvedArrow,TigerAirA320,000210.png,0,,
CurvedArrow,TigerAirA320,000211.png,0,,
CurvedArrow,TigerAirA320,000212.png,0,,
CurvedArrow,TigerAirA320,000213.png,0,,
CurvedArrow,TigerAirA320Rain,000120.png,0,,
CurvedArrow,TigerAirA320Rain,000121.png,0,,
CurvedArrow,TigerAirA320Rain,000122.png,0,,
CurvedArrow,TigerAirA320Rain,000123.png,0,,
CurvedArrow,TigerAirA320Rain,000124.png,0,,
CurvedArrow,TigerAirA320Rain,000125.png,0,,
CurvedArrow,TigerAirA320Rain,000126.png,0,,
CurvedArrow,TigerAirA320Rain,000127.png,0,,
CurvedArrow,TigerAirA320Rain,000128.png,0,,
CurvedArrow,TigerAirA320Rain,000129.png,0,,
CurvedArrow,TigerAirA320Rain,000130.png,0,,
CurvedArrow,TigerAirA320Rain,000131.png,0,,
CurvedArrow,TigerAirA320Rain,000132.png,0,,
CurvedArrow,TigerAirA320Rain,000133.png,0,,
CurvedArrow,TigerAirA320Rain,000134.png,0,,
CurvedArrow,TigerAirA320Rain,000135.png,0,,
CurvedArrow,TigerAirA320Rain,000136.png,0,,
CurvedArrow,TigerAirA320Rain,000137.png,1,1278, 483
